# x_m,y_m,velocity,state
-2.3600,14.3000,3.2625,0.0000
-2.1735,14.4187,3.5866,0.0000
-2.0262,14.5438,3.8698,0.0000
-1.8920,14.6891,4.1597,0.0000
-1.7447,14.8686,4.5001,0.0000
-1.5580,15.0962,4.9316,0.0000
-1.3059,15.3859,5.4945,0.0000
-0.9622,15.7516,6.2301,0.0000
-0.5006,16.2072,8.0000,0.0000
-0.2795,16.4161,8.0000,0.0000
-0.0935,16.5901,8.0000,0.0000
0.1100,16.7795,8.0000,0.0000
0.3296,16.9828,8.0000,0.0000
0.5638,17.1989,8.0000,0.0000
0.8111,17.4265,8.0000,0.0000
1.0700,17.6642,8.0000,0.0000
1.3391,17.9109,8.0000,0.0000
1.6168,18.1652,8.0000,0.0000
1.9017,18.4259,8.0000,0.0000
2.1923,18.6916,8.0000,0.0000
2.4871,18.9612,7.5691,0.0000
2.7847,19.2332,6.8598,0.0000
3.0836,19.5066,6.1475,0.0000
3.3822,19.7799,5.4354,0.0000
3.6791,20.0519,4.7271,0.0000
3.9729,20.3213,4.0260,0.0000
4.2621,20.5868,3.3355,0.0000
4.5451,20.8472,2.0000,0.0000
4.8205,21.1012,2.0000,0.0000
5.0868,21.3475,2.0000,0.0000
5.3426,21.5849,2.0000,0.0000
5.5863,21.8120,2.0000,0.0000
5.8165,22.0275,2.0000,0.0000
6.0317,22.2303,2.0000,0.0000
6.2304,22.4189,2.0000,0.0000
6.4112,22.5923,2.0000,0.0000
6.5725,22.7489,2.0162,0.0000
7.0775,23.2507,2.2249,0.0000
7.4495,23.6399,2.3827,0.0000
7.6621,23.8929,2.4796,0.0000
7.7659,24.0611,2.5375,0.0000
7.8112,24.1961,2.5793,0.0000
7.8485,24.3496,2.6256,0.0000
7.9043,24.6652,2.7195,0.0000
7.8025,25.0060,3.0000,0.0000
7.5949,25.2624,3.0642,0.0000
7.3649,25.4059,3.4615,0.0000
7.0883,25.4382,3.8697,0.0000
6.7471,25.3505,4.3860,0.0000
6.4010,25.1772,4.9534,0.0000
6.2112,25.0598,5.2806,0.0000
6.0258,24.9279,5.6140,0.0000
5.8178,24.7621,6.0038,0.0000
5.5603,24.5432,6.4993,0.0000
5.2261,24.2517,8.0000,0.0000
4.7894,23.8695,8.0000,0.0000
4.6059,23.7080,8.0000,0.0000
4.4030,23.5274,8.0000,0.0000
4.1829,23.3298,8.0000,0.0000
3.9475,23.1174,8.0000,0.0000
3.6990,22.8922,8.0000,0.0000
3.4394,22.6563,8.0000,0.0000
3.1709,22.4118,8.0000,0.0000
2.8954,22.1608,8.0000,0.0000
2.6151,21.9055,7.7765,0.0000
2.3320,21.6478,7.3277,0.0000
2.0483,21.3900,6.8781,0.0000
1.7659,21.1340,6.4312,0.0000
1.4870,20.8821,5.9905,0.0000
1.2137,20.6362,5.5593,0.0000
0.9479,20.3986,5.1413,0.0000
0.6919,20.1712,4.7397,0.0000
0.4476,19.9562,4.0000,0.0000
0.2172,19.7557,3.9785,0.0000
-0.0836,19.4988,3.8626,0.0000
-0.3931,19.2403,3.7444,0.0000
-0.6995,18.9892,3.6282,0.0000
-1.0011,18.7458,3.5146,0.0000
-1.2962,18.5105,3.4039,0.0000
-1.5832,18.2836,3.2967,0.0000
-1.8603,18.0655,3.0000,0.0000
-2.1258,17.8565,2.9116,0.0000
-2.3780,17.6570,2.8173,0.0000
-2.6152,17.4672,2.7283,0.0000
-2.8358,17.2876,2.6449,0.0000
-3.0380,17.1185,2.5676,0.0000
-3.2237,16.9569,2.4954,0.0000
-3.6256,16.6042,2.3387,0.0000
-3.8971,16.3580,2.2312,0.0000
-4.0713,16.1595,2.0000,0.0000
-4.1814,15.9499,2.0000,0.0000
-4.2557,15.6717,2.0000,0.0000
-4.2737,15.3195,2.0000,0.0000
-4.2287,14.9459,2.0000,0.0000
-4.1226,14.6057,2.0000,0.0000
-3.9577,14.3537,2.0000,0.0000
-3.7341,14.2091,2.0000,0.0000
-3.4404,14.1186,2.0000,0.0000
-3.0978,14.0938,2.0000,0.0000
-2.7298,14.1494,2.0000,0.0000
-2.3600,14.3000,2.0000,0.0000
