# x_m,y_m,velocity,state
-0.1820,19.8000,1.4000,0.0000
-0.4149,19.6068,1.4000,0.0000
-0.6761,19.3943,1.4000,0.0000
-0.9610,19.1654,1.4000,0.0000
-1.2647,18.9230,1.4000,0.0000
-1.5823,18.6700,1.4000,0.0000
-1.9090,18.4095,1.4000,0.0000
-2.2401,18.1442,1.4000,0.0000
-2.5706,17.8772,1.4000,0.0000
-2.8958,17.6113,1.4000,0.0000
-3.2109,17.3495,1.5035,0.0000
-3.5109,17.0947,1.6205,0.0000
-3.7912,16.8499,1.7311,0.0000
-4.0468,16.6179,1.8336,0.0000
-4.2730,16.4017,1.9266,0.0000
-4.4649,16.2042,2.0084,0.0000
-4.7811,15.8240,2.5000,0.0000
-5.0360,15.4151,2.5039,0.0000
-5.1667,15.0649,2.6049,0.0000
-5.2022,14.7625,2.6871,0.0000
-5.1714,14.4969,2.7593,0.0000
-5.1009,14.2529,2.8279,0.0000
-4.9107,13.9919,2.9152,0.0000
-4.5979,13.7770,3.0176,0.0000
-4.2217,13.6249,3.1272,0.0000
-3.8410,13.5524,3.2319,0.0000
-3.5173,13.5738,3.5000,0.0000
-3.2194,13.6831,3.7018,0.0000
-2.9182,13.8629,4.1281,0.0000
-2.6086,14.0953,4.5986,0.0000
-2.2853,14.3620,5.1080,0.0000
-1.9974,14.6035,5.5648,0.0000
-1.8085,14.7769,5.8765,0.0000
-1.6437,14.9457,6.1631,0.0000
-1.4718,15.1328,6.4721,0.0000
-1.2610,15.3615,6.8500,0.0000
-0.9800,15.6547,8.0000,0.0000
-0.5972,16.0356,8.0000,0.0000
-0.1656,16.4482,8.0000,0.0000
0.0286,16.6296,8.0000,0.0000
0.2442,16.8292,8.0000,0.0000
0.4794,17.0453,8.0000,0.0000
0.7319,17.2762,8.0000,0.0000
0.9997,17.5202,8.0000,0.0000
1.2807,17.7757,8.0000,0.0000
1.5729,18.0409,8.0000,0.0000
1.8741,18.3141,8.0000,0.0000
2.1823,18.5936,7.4229,0.0000
2.4954,18.8778,6.7377,0.0000
2.8113,19.1649,6.0459,0.0000
3.1279,19.4532,5.3519,0.0000
3.4433,19.7411,4.6599,0.0000
3.7552,20.0268,3.9744,0.0000
4.0616,20.3087,3.2997,0.0000
4.3604,20.5850,2.0000,0.0000
4.6496,20.8541,1.9892,0.0000
4.9271,21.1142,1.9276,0.0000
5.1907,21.3637,1.8688,0.0000
5.4384,21.6009,1.8132,0.0000
5.6682,21.8240,1.7613,0.0000
5.8780,22.0314,1.7135,0.0000
6.1763,22.3339,1.4000,0.0000
6.5591,22.7298,1.4210,0.0000
6.9035,23.0961,1.7740,0.0000
7.2099,23.4338,2.0943,0.0000
7.4788,23.7442,2.3827,0.0000
7.7105,24.0284,2.6402,0.0000
7.9054,24.2874,2.8678,0.0000
8.0639,24.5225,3.0669,0.0000
8.1864,24.7348,3.2390,0.0000
8.2732,24.9255,3.3862,0.0000
8.3266,25.1594,3.5546,0.0000
8.1903,25.4067,4.0000,0.0000
7.8637,25.5374,4.3361,0.0000
7.4432,25.5741,4.7921,0.0000
7.0254,25.5391,5.2450,0.0000
6.7279,25.4644,5.5764,0.0000
6.4529,25.3451,5.9004,0.0000
6.1662,25.1794,6.2581,0.0000
5.8610,24.9709,6.6574,0.0000
5.5307,24.7231,7.1036,0.0000
5.1684,24.4396,8.0000,0.0000
4.8794,24.2090,8.0000,0.0000
4.6270,23.9967,8.0000,0.0000
4.3578,23.7617,8.0000,0.0000
4.0759,23.5095,8.0000,0.0000
3.7854,23.2452,8.0000,0.0000
3.4905,22.9744,8.0000,0.0000
3.1954,22.7022,8.0000,0.0000
2.9041,22.4341,8.0000,0.0000
2.6208,22.1753,8.0000,0.0000
2.3497,21.9313,8.0000,0.0000
2.0854,21.6990,8.0000,0.0000
1.7922,21.4463,8.0000,0.0000
1.5309,21.2245,8.0000,0.0000
1.2871,21.0203,8.0000,0.0000
1.0460,20.8205,8.0000,0.0000
0.7932,20.6118,8.0000,0.0000
0.5139,20.3809,8.0000,0.0000
0.1938,20.1148,8.0000,0.0000
-0.1820,19.8000,8.0000,0.0000
