# x_m,y_m,velocity,state
-2.4480,14.2120,5.9774,0.0000
-2.2651,14.3545,5.9919,0.0000
-2.1231,14.4932,6.0043,0.0000
-1.9867,14.6499,6.0173,0.0000
-1.8206,14.8466,6.0334,0.0000
-1.5895,15.1052,6.0551,0.0000
-1.2581,15.4474,7.8675,0.0000
-0.7910,15.8953,7.8746,0.0000
-0.5776,16.0919,7.8955,0.0000
-0.3849,16.2674,7.9142,0.0000
-0.1728,16.4591,7.9347,0.0000
0.0566,16.6656,7.9569,0.0000
0.3016,16.8852,7.9805,0.0000
0.5604,17.1164,8.0054,0.0000
0.8310,17.3577,8.0314,0.0000
1.1116,17.6075,8.0584,0.0000
1.4004,17.8644,7.8337,0.0000
1.6955,18.1266,7.8145,0.0000
1.9951,18.3927,7.7862,0.0000
2.2973,18.6612,7.7576,0.0000
2.6002,18.9305,7.7290,0.0000
2.9021,19.1990,7.7005,0.0000
3.2009,19.4653,7.6722,0.0000
3.4950,19.7277,7.6444,0.0000
3.7824,19.9847,5.3985,0.0000
4.0613,20.2348,5.3812,0.0000
4.3298,20.4764,5.3342,0.0000
4.5861,20.7080,5.2893,0.0000
4.8284,20.9280,5.2467,0.0000
5.0547,21.1350,5.2068,0.0000
5.2632,21.3273,5.1699,0.0000
5.4521,21.5033,5.1363,0.0000
5.7062,21.7443,3.9100,0.0000
6.1471,22.1728,3.8376,0.0000
6.4694,22.5011,3.7810,0.0000
6.6993,22.7538,3.7391,0.0000
6.8631,22.9554,3.7072,0.0000
6.9870,23.1305,3.6808,0.0000
7.0973,23.3036,3.6556,0.0000
7.2200,23.4994,2.7218,0.0000
7.4323,23.8685,2.7444,0.0000
7.5824,24.2266,2.8109,0.0000
7.6586,24.5416,2.8664,0.0000
7.6590,24.7963,2.9101,0.0000
7.5107,25.0311,2.9576,0.0000
7.1883,25.1664,3.0175,0.0000
6.8210,25.1925,3.0806,0.0000
6.5494,25.1392,3.1280,0.0000
6.2755,25.0196,6.1282,0.0000
5.9581,24.8249,6.1356,0.0000
5.6321,24.5971,6.1599,0.0000
5.4670,24.4747,6.1725,0.0000
5.3256,24.3619,6.1835,0.0000
5.1720,24.2315,6.1958,0.0000
4.9702,24.0560,6.2122,0.0000
4.6841,23.8080,6.2353,0.0000
4.2777,23.4600,8.0087,0.0000
3.7777,23.0372,8.0194,0.0000
3.5972,22.8857,8.0361,0.0000
3.3961,22.7173,8.0546,0.0000
3.1763,22.5334,8.0749,0.0000
2.9393,22.3354,8.0968,0.0000
2.6870,22.1247,8.1200,0.0000
2.4209,21.9026,8.1446,0.0000
2.1428,21.6706,8.1702,0.0000
1.8544,21.4299,8.1968,0.0000
1.5574,21.1821,7.8760,0.0000
1.2534,20.9283,7.8608,0.0000
0.9442,20.6701,7.8314,0.0000
0.6315,20.4088,7.8016,0.0000
0.3169,20.1458,7.7716,0.0000
0.0022,19.8824,7.7416,0.0000
-0.3109,19.6200,7.7117,0.0000
-0.6208,19.3601,5.7083,0.0000
-0.9257,19.1039,5.6943,0.0000
-1.2240,18.8528,5.6600,0.0000
-1.5139,18.6082,5.6267,0.0000
-1.7938,18.3716,5.5945,0.0000
-2.0620,18.1442,5.5637,0.0000
-2.3167,17.9274,5.5343,0.0000
-2.5562,17.7227,5.5066,0.0000
-2.7790,17.5314,2.4545,0.0000
-2.9832,17.3548,2.4340,0.0000
-3.1672,17.1943,2.4106,0.0000
-3.4187,16.9718,2.3783,0.0000
-3.9719,16.4656,2.3062,0.0000
-4.2661,16.1660,2.2658,0.0000
-4.3907,15.9963,2.2456,0.0000
-4.4350,15.8794,2.2335,0.0000
-4.4883,15.7385,3.5928,0.0000
-4.6393,15.4143,3.5848,0.0000
-4.6686,15.1086,3.5412,0.0000
-4.5778,14.7952,3.4949,0.0000
-4.4432,14.5017,3.4490,0.0000
-4.2465,14.1798,3.3955,0.0000
-4.0039,13.9123,3.3443,0.0000
-3.7365,13.7812,3.3020,0.0000
-3.4560,13.7709,3.2621,0.0000
-3.1430,13.8422,3.2166,0.0000
-2.8046,13.9907,3.1641,0.0000
-2.4480,14.2120,3.5928,0.0000
